Brand,Product Name,Price,Rating,Number of Ratings,Link,Product Type,Product ID
FEKKAI,Apple Cider Detox Shampoo,$28.50 ,4.6,416,https://www.ulta.com/p/apple-cider-detox-shampoo-pimprod2027246?sku=2585951,Shampoo,U100
Briogeo,Superfoods Mango + Cherry Oil Control & Balancing Shampoo,$30.00 - $65.00 ,4.6,128,https://www.ulta.com/p/superfoods-mango-cherry-oil-control-balancing-shampoo-pimprod2031505?sku=2594580,Shampoo,U101
SEEN,Shampoo,$29.00 ,4.7,276,https://www.ulta.com/p/shampoo-pimprod2024625?sku=2584265,Shampoo,U102
L'ange,Violet Purple Toning Shampoo,$20.00 ,4.9,2306,https://www.ulta.com/p/violet-purple-toning-shampoo-pimprod2020647?sku=2576514,Shampoo,U103
Keranique,Color Boost Follicle Strengthening Shampoo,$24.00 ,4.5,190,https://www.ulta.com/p/color-boost-follicle-strengthening-shampoo-pimprod2038675?sku=2608476,Shampoo,U104
Mielle,Pomegranate & Honey Moisturizing and Detangling Shampoo,$13.99 ,4.7,2226,https://www.ulta.com/p/pomegranate-honey-moisturizing-detangling-shampoo-pimprod2032142?sku=2595081,Shampoo,U105
Keranique,Deep Hydration Follicle Strengthening Shampoo,$24.00 ,4.5,1229,https://www.ulta.com/p/deep-hydration-follicle-strengthening-shampoo-pimprod2038670?sku=2608471,Shampoo,U106
Better Not Younger,Silver Lining Purple Brightening Shampoo for Grey & White Hair,$29.00 ,4.5,411,https://www.ulta.com/p/silver-lining-purple-brightening-shampoo-grey-white-hair-pimprod2026704?sku=2585505,Shampoo,U107
Odele,Purple Shampoo,$11.99 ,4.6,118,https://www.ulta.com/p/purple-shampoo-pimprod2043100?sku=2617797,Shampoo,U108
Kenra Professional,Violet Shampoo,$21.00 - $46.00 ,4.7,378,https://www.ulta.com/p/violet-shampoo-pimprod2044533?sku=2622452,Shampoo,U109
Coco & Eve,Like A Virgin Super Hydrating Shampoo,$27.00 ,4.8,483,https://www.ulta.com/p/like-a-virgin-super-hydrating-shampoo-pimprod2029115?sku=2622709,Shampoo,U110
Batiste,Fresh Dry Shampoo - Light & Breezy,$12.49 - $20.99 ,4.5,917,https://www.ulta.com/p/fresh-dry-shampoo-light-breezy-pimprod2009868?sku=2227789,Shampoo,U111
Kitsch,Purple Toning Solid Shampoo Bar,$14.00 ,4.5,397,https://www.ulta.com/p/purple-toning-solid-shampoo-bar-pimprod2037038?sku=2606291,Shampoo,U112
